,China,Distributor,Domestic_gross,Domestic_percentage,Intr_gross,Intr_percentage,Japan,Movie,Russia - CIS,United Kingdom,UsDist,UsRelease,WW_gross,dummy2,movie,updatedGenre
175,,BG,3400000.0,100.0,,0.0,,Learning to Drive,,45596.0,Broad Green Pictures,2015-08-21,3400000.0,,learningtodrive,Comedy
176,,Uni.,538000.0,16.1,2800000.0,83.9,,By the Sea,208984.0,37732.0,Universal,2015-11-13,3300000.0,,bythesea,Drama
177,,IFC,819000.0,25.5,2400000.0,74.5,,Sleeping with Other People,24346.0,15030.0,IFC,2015-09-11,3200000.0,,sleepingwithotherpeople,Comedy
178,,IFC,3200000.0,100.0,,0.0,,Phoenix (2015),,58634.0,IFC,2015-07-24,3200000.0,,phoenix2015,Foreign
179,,SPC,561000.0,17.7,2600000.0,82.3,,Jimmy's Hall,,834030.0,Sony Classics,2015-07-03,3200000.0,,jimmyshall,Drama
180,,Eros,3000000.0,100.0,,0.0,,Tanu Weds Manu Returns,,638315.0,Eros,2015-05-22,3000000.0,,tanuwedsmanureturns,Comedy
181,,ORF,3000000.0,100.0,,0.0,,Rock The Kasbah,19498.0,5509.0,Open Road Films,2015-10-23,3000000.0,,rockthekasbah,Comedy
182,,A24,3000000.0,100.0,,0.0,,The End of the Tour,,,A24,2015-07-31,3000000.0,,endofthetour,Drama
183,,Par.,2600000.0,92.2,218000.0,7.8,,Captive (2015),,79328.0,Paramount,2015-09-18,2800000.0,,captive2015,Thriller
184,,FoxS,2700000.0,96.5,97100.0,3.5,,He Named Me Malala,,154159.0,Fox Searchlight,2015-10-02,2800000.0,,malala,Documentary
185,,FoxS,2700000.0,100.0,,0.0,,Youth,503557.0,1367668.0,Fox Searchlight,2015-12-04,2700000.0,,youth,Drama
186,,SPC,2500000.0,100.0,,0.0,,Truth,,38000.0,Sony Classics,2015-10-16,2500000.0,,truth,Drama
187,,FoxS,2500000.0,100.0,,0.0,,Mistress America,,257789.0,Fox Searchlight,2015-08-14,2500000.0,,mistressamerica,Comedy
188,,Uni.,2200000.0,93.6,149000.0,6.4,,Jem and the Holograms,,12869.0,Universal,2015-10-23,2300000.0,,jemandtheholograms,Musical
189,,MBox,54000.0,2.4,2200000.0,97.6,,Beloved Sisters,,,Music Box Films,2015-01-09,2200000.0,,belovedsisters,Foreign
190,,IFC,7700.0,0.4,2100000.0,99.6,,The Riot Club,,2525772.0,IFC,2015-03-27,2100000.0,,riotclub,Drama
191,,UTV,2100000.0,100.0,,0.0,,Tamasha,,663313.0,UTV Communications,2015-11-25,2100000.0,,tamasha,Comedy
192,,CLF,2000000.0,100.0,,0.0,,Cake,,,Cinelou Films,2015-01-23,2000000.0,,cake,Drama
193,6730000.0,WGUSA,1900000.0,100.0,,0.0,,Assassination (2015),,,Well Go USA,2015-08-07,1900000.0,,assassination15,Drama
194,,IFC,1900000.0,100.0,,0.0,,Clouds of Sils Maria,,,IFC,2015-04-10,1900000.0,,cloudsofsilsmaria,Drama
195,,SPC,1800000.0,100.0,,0.0,,Testament of Youth,,2877384.0,Sony Classics,2015-06-05,1800000.0,,testamentofyouth,Drama
196,,Yash,1800000.0,100.0,,0.0,,Piku,,369261.0,Yash Raj,2015-05-08,1800000.0,,piku,Comedy
197,,LGF,1800000.0,100.0,,0.0,,The Vatican Tapes,990769.0,201.0,Lionsgate,2015-07-24,1800000.0,,vaticantapes,Horror
198,,SPC,1800000.0,100.0,,0.0,,Son of Saul,27776.0,484104.0,Sony Classics,2015-12-18,1800000.0,,sonofsaul,Drama
199,,FR,410000.0,25.2,1200000.0,74.8,,Janis: Little Girl Blue,,144510.0,FilmRise,2015-11-27,1600000.0,,janislittlegirlblue,Documentary
200,,RAtt.,1300000.0,78.2,355000.0,21.8,,'71,,1567094.0,Roadside Attractions,2015-02-27,1600000.0,,71,Drama
201,,SPC,1500000.0,100.0,,0.0,,The Diary of a Teenage Girl,,125845.0,Sony Classics,2015-08-07,1500000.0,,diaryofateenagegirl,Drama
202,,AaF,1400000.0,100.0,,0.0,,I (2015),,,Aascar Film,2015-01-13,1400000.0,,i2015,Foreign
203,,SPC,1400000.0,100.0,,0.0,,Infinitely Polar Bear,,,Sony Classics,2015-06-19,1400000.0,,infinitelypolarbear,Comedy
204,,BG,1400000.0,100.0,,0.0,,99 Homes,,57837.0,Broad Green Pictures,2015-09-25,1400000.0,,99homes,Thriller
205,,Eros,1400000.0,100.0,,0.0,,Welcome Back,,319996.0,Eros,2015-09-04,1400000.0,,welcomeback,Action
206,,EOne,547000.0,40.5,802000.0,59.5,,Remember,24800.0,3075.0,Entertainment One,2015-10-16,1300000.0,,remembercanada,Drama
207,,SPC,1300000.0,100.0,,0.0,,The Salt of the Earth,62990.0,,Sony Classics,2015-03-27,1300000.0,,saltoftheearth,Documentary
208,,Focus,351000.0,26.2,988000.0,73.8,,Maps to the Stars,111553.0,599795.0,Focus Features,2015-02-27,1300000.0,,mapstothestars,Drama
209,,Magn.,1300000.0,100.0,,0.0,,Iris (2015),,,Magnolia,2015-04-29,1300000.0,,iris2015,Documentary
210,,Magn.,1300000.0,100.0,,0.0,,The Wolfpack,,,Magnolia,2015-06-12,1300000.0,,wolfpack,Documentary
211,,CJ,1200000.0,100.0,,0.0,,Veteran,,,CJ Entertainment,2015-09-18,1200000.0,,veteran2015,Comedy
212,,RTWC,1200000.0,100.0,,0.0,,Goodnight Mommy,,18437.0,Radius-TWC,2015-09-11,1200000.0,,goodnightmommy,Horror
213,,Focus,1200000.0,100.0,,0.0,,Black Sea,260024.0,384042.0,Focus Features,2015-01-23,1200000.0,,blacksea,Thriller
214,,RAtt.,1200000.0,100.0,,0.0,,Miss You Already,,2215536.0,Roadside Attractions,2015-11-06,1200000.0,,missyoualready,Drama
215,,Orch.,704000.0,62.5,422000.0,37.5,,Cartel Land,,103971.0,The Orchard,2015-07-03,1100000.0,,cartelland,Documentary
216,,Cohen,1100000.0,100.0,,0.0,,Timbuktu,,,Cohen Media Group,2015-01-28,1100000.0,,timbuktu,Foreign
217,,Orch.,1000000.0,100.0,,0.0,,Dior and I,,,The Orchard,2015-04-10,1000000.0,,diorandi,Documentary
218,,Focus,1000000.0,100.0,,0.0,,5 Flights Up,,,Focus Features,2015-05-08,1000000.0,,5flightsup,Drama
219,,MBox,988000.0,100.0,,0.0,,Gett: The Trial of Viviane Amsalem,,,Music Box Films,2015-02-13,988000.0,,gett,Foreign
220,15392640.0,Elev.,920000.0,100.0,,0.0,,Boruto: Naruto the Movie,,,Eleven Arts,2015-10-10,920000.0,,borutonarutothemovie,Animation
221,,Eros,919000.0,100.0,,0.0,,Singh is Bling,,539272.0,Eros,2015-10-02,919000.0,,singhisbliing,Comedy
222,,UTV,892000.0,100.0,,0.0,,ABCD (Any Body Can Dance) 2,,182501.0,UTV Communications,2015-06-19,892000.0,,abcd2,Musical
223,,Cohen,845000.0,100.0,,0.0,,Mustang,7100.0,93425.0,Cohen Media Group,2015-11-20,845000.0,,mustang,Drama
224,,SPC,794000.0,100.0,,0.0,,Labyrinth of Lies,,,Sony Classics,2015-09-30,794000.0,,labyrinthoflies,Foreign
225,,IFC,673000.0,86.9,102000.0,13.1,,The D Train,,13233.0,IFC,2015-05-08,775000.0,,dtrain,Comedy
226,,Magn.,702000.0,100.0,,0.0,,Tangerine,,28376.0,Magnolia,2015-07-10,702000.0,,tangerine,Comedy
227,,SPC,695000.0,100.0,,0.0,,Red Army,,9792.0,Sony Classics,2015-01-23,695000.0,,redarmy,Documentary
228,,IFC,661000.0,100.0,,0.0,,The Stanford Prison Experiment,,2553.0,IFC,2015-07-17,661000.0,,stanfordprison,Thriller
229,9400000.0,WGUSA,633000.0,100.0,,0.0,,The Assassin,,109213.0,Well Go USA,2015-10-16,633000.0,,theassassin,Drama
230,,Ampl.,623000.0,100.0,,0.0,,"Kumiko, The Treasure Hunter",,,Amplify,2015-03-18,623000.0,,kumiko,Comedy
231,,Alc,609000.0,100.0,,0.0,,Welcome to Me,,2242.0,Alchemy,2015-05-01,609000.0,,welcometome,Comedy
232,,Yash,579000.0,100.0,,0.0,,Detective Byomkesh Bakshy,,,Yash Raj,2015-04-03,579000.0,,detectivebyomkeshbakshy,Thriller
233,,LGF,573000.0,100.0,,0.0,,Freeheld,8622.0,18245.0,Lionsgate,2015-10-02,573000.0,,freeheld,Drama
234,,GK,561000.0,100.0,,0.0,33068148.0,When Marnie Was There,,141697.0,GKIDS,2015-05-22,561000.0,,whenmarniewasthere,Animation
235,,Eros,535000.0,100.0,,0.0,,Gabbar is Back,,307651.0,Eros,2015-05-01,535000.0,,gabbarisback,Foreign
236,,Elev.,524000.0,100.0,,0.0,,The Last - Naruto the Movie,428849.0,,Eleven Arts,2015-02-20,524000.0,,lastnaruto,Animation
237,,SD,498000.0,100.0,,0.0,,Peggy Guggenheim Art Addict,,136416.0,"November 6, 2015",,498000.0,,peggyguggenheimartaddict,
238,,UTV,490000.0,100.0,,0.0,,Phantom (2015),,,UTV Communications,2015-08-28,490000.0,,phantom15,Drama
239,45160000.0,CL,482000.0,100.0,,0.0,,Somewhere Only We Know,,,China Lion,2015-02-13,482000.0,,somewhereonlyweknow,Foreign
240,45420000.0,CL,463000.0,100.0,,0.0,,Let's Get Married,,,China Lion,2015-04-03,463000.0,,letsgetmarried,Foreign
241,,FIP,451000.0,100.0,,0.0,,Bombay Velvet,,145195.0,FIP,2015-05-15,451000.0,,bombayvelvet,Drama
242,,FUN,450000.0,100.0,,0.0,25786343.0,Attack on Titan: Part 1,302422.0,,FUNimation Films,2015-09-30,450000.0,,attackontitanpart1,Animation
243,,SPC,429000.0,100.0,,0.0,,Saint Laurent,,,Sony Classics,2015-05-08,429000.0,,saintlaurent,Foreign
244,,SHO,426000.0,100.0,,0.0,,Listen to Me Marlon,,70558.0,Showtime,2015-07-29,426000.0,,listentomemarlon,Documentary
245,,Abr.,421000.0,100.0,,0.0,,Heart of a Dog,6166.0,23430.0,"October 21, 2015",,421000.0,,heartofadog,
246,33461140.0,CL,418000.0,100.0,,0.0,,The Witness (Wo shi zheng ren),,,"October 30, 2015",,418000.0,,woshizhengren,
247,,Osci.,377000.0,100.0,,0.0,,The Second Mother,,,Oscilloscope Pictures,2015-08-28,377000.0,,thesecondmother,Foreign
248,,UTV,365000.0,100.0,,0.0,,Katti Batti,,155502.0,UTV Communications,2015-09-18,365000.0,,kattibatti,Comedy
249,,GK,355000.0,100.0,,0.0,,Kahlil Gibran's The Prophet,,,GKIDS,2015-08-07,355000.0,,theprophet,Animation
250,,Asp.,347000.0,100.0,,0.0,,Noble,,4388.0,Aspiration Media,2015-05-08,347000.0,,noble,Drama
251,,WGUSA,338000.0,100.0,,0.0,,Northern Limit Line,,,Well Go USA,2015-07-17,338000.0,,northernlimitline,Drama
252,,Eros,325000.0,100.0,,0.0,,Shamitabh,,,Eros,2015-02-06,325000.0,,shamitabh,Foreign
253,,KL,322000.0,100.0,,0.0,,Jafar Panahi's Taxi,7852.0,43041.0,Kino Lorber,2015-10-02,322000.0,,taxitehran,Drama
254,,IFC,316000.0,100.0,,0.0,,Good Kill,,,IFC,2015-05-15,316000.0,,goodkill,Drama
255,68450000.0,CL,311000.0,100.0,,0.0,,Running Man (2015),,,China Lion,2015-01-30,311000.0,,runningman2015,Foreign
256,,FM,283000.0,100.0,,0.0,,Theeb,,74035.0,Film Movement,2015-11-06,283000.0,,theeb,Adventure
257,,Magn.,282000.0,100.0,,0.0,,White God,,,Magnolia,2015-03-27,282000.0,,whitegod,Foreign
258,,Strand,282000.0,100.0,,0.0,,A Borrowed Identity,,,Strand,2015-06-26,282000.0,,aborrowedidentity,Drama
259,,Cohen,260000.0,100.0,,0.0,,Hitchcock/Truffaut,17736.0,33571.0,Cohen Media Group,2015-12-02,260000.0,,hitchcocktruffaut,Documentary
260,,Alc,249000.0,100.0,,0.0,,Love (2015),,65829.0,Alchemy,2015-10-30,249000.0,,lovenoe,Drama
261,,Eros,236000.0,100.0,,0.0,,Tevar,,,Eros,2015-01-09,236000.0,,tevar,Foreign
262,59010000.0,CJ,235000.0,100.0,,0.0,,20 Once Again,,,CJ Entertainment,2015-01-16,235000.0,,20onceagain,Foreign
263,,A24,229000.0,100.0,,0.0,,Slow West,16153.0,559614.0,A24,2015-05-20,229000.0,,slowwest,Action
264,141020000.0,WGUSA,229000.0,100.0,,0.0,,The Taking of Tiger Mountain,,,Well Go USA,2015-01-02,229000.0,,takingoftigermountain,Action
265,,ADC,228000.0,100.0,,0.0,,A Royal Night Out,,1590567.0,Atlas Distribution,2015-12-04,228000.0,,aroyalnightout,Drama
266,,Magn.,223000.0,100.0,,0.0,,A Pigeon Sat on a Branch Reflecting on Existence,62641.0,,Magnolia,2015-06-03,223000.0,,pigeon,Comedy
267,22640355.0,CL,213000.0,100.0,,0.0,,Fall in Love Like a Star,,,China Lion,2015-12-04,213000.0,,fallinlovelikeastar,Romance
268,,A24,209000.0,100.0,,0.0,,Dark Places,,892.0,A24,2015-08-07,209000.0,,darkplaces,Drama
269,,MBox,192000.0,100.0,,0.0,,Gemma Bovery,,,Music Box Films,2015-05-29,192000.0,,gemmabovary,Comedy
270,,Drft.,191000.0,100.0,,0.0,,The Connection,40555.0,,Drafthouse,2015-05-15,191000.0,,connection2015,Foreign
271,34180000.0,CL,189000.0,100.0,,0.0,,Love and Lost (Shi Gu),,,China Lion,2015-03-20,189000.0,,loveandlost,Foreign
272,,RAtt.,188000.0,100.0,,0.0,,Stonewall (2015),,,Roadside Attractions,2015-09-25,188000.0,,stonewall15,Drama
273,,RAtt.,187000.0,100.0,,0.0,,Maggie,,,Roadside Attractions,2015-05-08,187000.0,,maggie,Drama
274,,CJ,185000.0,100.0,,0.0,,The Priests,,,CJ Entertainment,2015-11-26,185000.0,,thepriests,Crime
275,,Gold.,173000.0,100.0,,0.0,,The Farewell Party,,,Samuel Goldwyn,2015-05-22,173000.0,,farewellparty,Foreign
276,,Gold.,172000.0,100.0,,0.0,,A Brilliant Young Mind,,,Samuel Goldwyn,2015-09-11,172000.0,,abrilliantyoungmind,Comedy
277,63620000.0,WGUSA,165000.0,100.0,,0.0,,Snow Girl and the Dark Crystal,,,Well Go USA,2015-02-27,165000.0,,snowgirl,Foreign
278,,CJ,164000.0,100.0,,0.0,,C'Est Si Bon,,,CJ Entertainment,2015-02-13,164000.0,,cestsibon,Foreign
279,6066913.0,CL,163000.0,100.0,,0.0,,The Last Women Standing,,,China Lion,2015-11-11,163000.0,,thelastwomenstanding,Comedy
280,,IFC,163000.0,100.0,,0.0,,5 to 7,120909.0,,IFC,2015-04-03,163000.0,,5to7,Romance
281,,FM,159000.0,100.0,,0.0,,Human Capital,,,Film Movement,2015-01-09,159000.0,,humancapital,Foreign
282,,Magn.,156000.0,100.0,,0.0,,Experimenter,,,Magnolia,2015-10-16,156000.0,,experimenter,Drama
283,,Rela.,155000.0,100.0,,0.0,,Desert Dancer,14002.0,2873.0,Relativity,2015-04-10,155000.0,,desertdancer,Drama
284,,BG,152000.0,100.0,,0.0,,Samba,250872.0,,Broad Green Pictures,2015-07-24,152000.0,,samba,Foreign
285,,Drft.,151000.0,100.0,,0.0,,The Tribe,,,Drafthouse,2015-06-17,151000.0,,tribe2015,Foreign
286,59750000.0,CL,150000.0,100.0,,0.0,,Forever Young (2015),,,China Lion,2015-07-10,150000.0,,foreveryoung15,Romance
287,,Cohen,147000.0,100.0,,0.0,,The New Girlfriend,,147363.0,Cohen Media Group,2015-09-18,147000.0,,newgirlfriend,Drama
288,,Gold.,145000.0,100.0,,0.0,,Tangerines,,10419.0,Samuel Goldwyn,2015-04-17,145000.0,,tangerines,Foreign
289,,IFC,143000.0,100.0,,0.0,,Manglehorn,,,IFC,2015-06-19,143000.0,,manglehorn,Drama
290,,Rialto,138000.0,100.0,,0.0,,Ingrid Bergman: In Her Own Words,,,Rialto,2015-11-13,138000.0,,ingridbergman,Documentary
291,,CJ,136000.0,100.0,,0.0,,Twenty (2015),,,CJ Entertainment,2015-04-17,136000.0,,twenty2015,Foreign
292,6195984.0,CL,127000.0,100.0,,0.0,,A Journey Through Time with Anthony,,,China Lion,2015-11-18,127000.0,,ajourneythroughtimewithanthony,Drama
293,,SM,126000.0,100.0,,0.0,,Boulevard,,,Starz Media,2015-07-10,126000.0,,boulevard,Drama
294,,RAtt.,121000.0,100.0,,0.0,,Z for Zachariah,,,Roadside Attractions,2015-08-28,121000.0,,zforzachariah,Drama
295,,IFC,119000.0,100.0,,0.0,,Do I Sound Gay?,,3207.0,IFC,2015-07-10,119000.0,,doisoundgay,Documentary
296,,AZ,116000.0,100.0,,0.0,20716540.0,Love Live! The School Idol Movie,,,Azoland,2015-09-11,116000.0,,loveliveschoolidolmovie,Animation
297,,LGP,112000.0,100.0,,0.0,,She's Funny That Way,822108.0,,Lionsgate Premiere,2015-08-21,112000.0,,shesfunnythatway,Comedy
298,,Drft.,109000.0,100.0,,0.0,,The Look of Silence,,,Drafthouse,2015-07-17,109000.0,,lookofsilence,Documentary
299,,WGUSA,108000.0,100.0,,0.0,,The Beauty Inside,,,Well Go USA,2015-09-11,108000.0,,thebeautyinside,Drama
300,,CJ,105000.0,100.0,,0.0,,The Chronicles of Evil,,,CJ Entertainment,2015-05-15,105000.0,,thechroniclesofevil,Crime Thriller
301,,SM,104000.0,100.0,,0.0,,Every Secret Thing,,,Starz Media,2015-05-15,104000.0,,everysecretthing,Drama
302,,Alc,101000.0,100.0,,0.0,,Black Souls (Anime Nere),,2985.0,Alchemy,2015-04-10,101000.0,,blacksouls(animenere),Drama
303,,Jan.,96600.0,100.0,,0.0,,A Poem Is a Naked Person (2015 re-issue),,183.0,Janus Films,2015-07-01,96600.0,,apoemisanakedperson,Documentary
304,30350000.0,UEP,92700.0,100.0,,0.0,,Saving Mr. Wu,,,United Entertainment Partners,2015-10-02,92700.0,,savingmrwu,Action
305,,Rialto,91900.0,100.0,,0.0,,The Tales of Hoffmann (2015 re-issue),,,Rialto,2015-03-13,91900.0,,talesofhoffman,Musical
306,,IFC,91200.0,100.0,,0.0,,Queen of Earth,,3965.0,IFC,2015-08-26,91200.0,,queenofearth,Drama
307,,Eros,88700.0,100.0,,0.0,37473829.0,Hero (2015),,,Eros,2015-09-11,88700.0,,hero2015,Drama
308,,RTWC,80700.0,100.0,,0.0,,Heaven Knows What,,1326.0,Radius-TWC,2015-05-29,80700.0,,heavenknowswhat,Drama
309,,Orch.,79800.0,100.0,,0.0,,Nasty Baby,,972.0,The Orchard,2015-10-23,79800.0,,nastybaby,Drama
310,,Osci.,73400.0,100.0,,0.0,,The Wonders,,,Oscilloscope Pictures,2015-10-30,73400.0,,thewonders,Drama
311,1830000.0,VE,68400.0,100.0,,0.0,,Predestination,429630.0,,Vertical Entertainment,2015-01-09,68400.0,,predestination,Action
312,,TFA,67000.0,100.0,,0.0,,People Places Things,,,The Film Arcade,2015-08-14,67000.0,,peopleplacesthings,Comedy
313,,BG,65500.0,100.0,,0.0,,Eden,,,Broad Green Pictures,2015-06-19,65500.0,,eden,Foreign
314,,IFC,64500.0,100.0,,0.0,,The Duke of Burgundy,,66493.0,IFC,2015-01-23,64500.0,,dukeofburgundy,Thriller
315,7400000.0,CL,63700.0,100.0,,0.0,,The Office,,,China Lion,2015-09-18,63700.0,,office2015,Musical
316,,Strand,60800.0,100.0,,0.0,,Girlhood (2015),,,Strand,2015-01-30,60800.0,,girlhood2015,Foreign
317,,CGld,60200.0,100.0,,0.0,,Jauja,,,Cinema Guild,2015-03-20,60200.0,,jauja,Foreign
318,,BG,58700.0,100.0,,0.0,,I Smile Back,,,Broad Green Pictures,2015-10-23,58700.0,,ismileback,Drama
319,,CJ,50200.0,100.0,,0.0,,The Advocate: A Missing Body,,,CJ Entertainment,2015-10-23,50200.0,,advocateamissingbody,Crime
320,,TA,49700.0,100.0,,0.0,,Difret,,,Truth Aid,2015-10-23,49700.0,,difret,Drama
321,,Grav.,46900.0,100.0,,0.0,,Appropriate Behavior,,76787.0,Gravitas Ventures,2015-01-16,46900.0,,appropriatebehavior,Comedy
322,,RAtt.,45900.0,100.0,,0.0,,Beyond the Reach,167404.0,,Roadside Attractions,2015-04-17,45900.0,,beyondthereach,Drama
323,,IFC,44900.0,100.0,,0.0,,The Salvation,53031.0,57240.0,IFC,2015-02-27,44900.0,,salvation,Western
324,,MR,42900.0,100.0,,0.0,,Charlie's Country,,,Monument Releasing,2015-06-05,42900.0,,charliescountry,Foreign
325,,KL,42200.0,100.0,,0.0,,Pearl Button,,19203.0,Kino Lorber,2015-10-23,42200.0,,pearlbutton,Documentary
326,,BBC,41300.0,100.0,,0.0,,Queen and Country,,,BBC Worldwide North America,2015-02-18,41300.0,,queenandcountry,Drama
327,,Gold.,38300.0,100.0,,0.0,,Lila & Eve,,,Samuel Goldwyn,2015-07-17,38300.0,,lilaandeve,Drama
328,,RTWC,37200.0,100.0,,0.0,,Before We Go,,,Radius-TWC,2015-09-04,37200.0,,beforewego,Comedy
329,,Distrib.,37100.0,100.0,,0.0,,The Mafia Only Kills in Summer,,1047.0,Distrib Films,2015-03-06,37100.0,,mafiakills,Foreign
330,,LGP,36300.0,100.0,,0.0,,Knock Knock,482921.0,735021.0,Lionsgate Premiere,2015-10-09,36300.0,,knockknock,Horror
331,,KL,36200.0,100.0,,0.0,,Kindergarten Teacher,,,Kino Lorber,2015-07-31,36200.0,,kindergartenteacher,Drama
332,,FRun,36000.0,100.0,,0.0,,Welcome to Leith,,370.0,First Run,2015-09-09,36000.0,,welcometoleith,Documentary
333,23670000.0,WGUSA,34900.0,100.0,,0.0,,Wild City,,,Well Go USA,2015-07-31,34900.0,,wildcity,Action
334,,TFA,32300.0,100.0,,0.0,,Song One,,,The Film Arcade,2015-01-23,32300.0,,songone,Drama
335,,CFilms,31500.0,100.0,,0.0,,"Out 1, noli me tangere",,6204.0,Carlotta Films,2015-11-06,31500.0,,out1nolimetangere,Drama
336,,Part.,30400.0,100.0,,0.0,,"3 1/2 Minutes, 10 Bullets",,8856.0,Participant Media,2015-06-19,30400.0,,3minutes10bullets,Documentary
337,,Cohen,29500.0,100.0,,0.0,,Paulette,37614.0,,Cohen Media Group,2015-08-14,29500.0,,paulette,Comedy
338,,Strand,28100.0,100.0,,0.0,,The Cut,135711.0,,Strand,2015-09-18,28100.0,,thecut,Drama
339,,Drft.,27200.0,100.0,,0.0,,The Keeping Room,,38793.0,Drafthouse,2015-09-25,27200.0,,keepingroom,Drama
340,,EC,24600.0,100.0,,0.0,,Big Game,317818.0,1376191.0,EuropaCorp,2015-06-26,24600.0,,biggame,Action
341,,Distrib.,23100.0,100.0,,0.0,,"Hippocrates, Diary of a French Doctor",,,Distrib Films,2015-06-19,23100.0,,hippocratesdiaryofafrenchdoctor,Drama
342,,CJ,22500.0,100.0,,0.0,,Salut D'Amour,,,CJ Entertainment,2015-04-10,22500.0,,salutdamour,Foreign
343,,Magn.,21100.0,100.0,,0.0,,Noma - My Perfect Storm,,,Magnolia,2015-12-18,21100.0,,nomamyperfectstorm,Documentary
344,,Magn.,18200.0,100.0,,0.0,,The Little Death,,,Magnolia,2015-06-26,18200.0,,littledeath,Comedy
345,,CJ,18000.0,100.0,,0.0,,Gangnam 1970,,,CJ Entertainment,2015-02-06,18000.0,,gangnam1970,Action
346,,IFC,17700.0,100.0,,0.0,,Mediterranea,,,IFC,2015-11-20,17700.0,,mediterranea,Drama
347,,Alc,17500.0,100.0,,0.0,,Strangerland,22881.0,3363.0,Alchemy,2015-07-10,17500.0,,strangerland,Drama
348,,FRun,16800.0,100.0,,0.0,,Eastern Boys,,,First Run,2015-02-27,16800.0,,easternboys,Foreign
349,,LGP,16800.0,100.0,,0.0,,Extraction,12722.0,,Lionsgate Premiere,2015-12-18,16800.0,,extraction,Thriller
350,,Wein.,16700.0,100.0,,0.0,,Eva,10218.0,,Weinstein Company,2015-03-13,16700.0,,eva,Foreign
351,,Drft.,16600.0,100.0,,0.0,6440852.0,The World of Kanako,,,Drafthouse,2015-12-04,16600.0,,worldofkanako,Thriller
352,,Free,14900.0,100.0,,0.0,,Zombeavers,,,Freestyle Releasing,2015-03-20,14900.0,,zombeavers,Comedy
353,,IFC,13900.0,100.0,,0.0,,The Hallow,140422.0,144981.0,IFC,2015-11-06,13900.0,,thehallow,Horror
354,,FM,13700.0,100.0,,0.0,,Amour Fou,,,Film Movement,2015-03-18,13700.0,,amourfou,Foreign
355,,KL,12300.0,100.0,,0.0,,Arabian Nights: Volume 1 - The Restless One,,6201.0,Kino Lorber,2015-12-04,12300.0,,arabiannightsvol1,Drama
356,,FM,11700.0,100.0,,0.0,,Marie's Story,,,Film Movement,2015-05-01,11700.0,,mariesstory,Foreign
357,,KL,11000.0,100.0,,0.0,,1001 Grams,,,Kino Lorber,2015-05-08,11000.0,,1001grams,Drama
358,,CJ,10700.0,100.0,,0.0,,Empire of Lust,,,CJ Entertainment,2015-03-06,10700.0,,empireoflust,Foreign
359,,FOR,10200.0,100.0,,0.0,,The Forecaster,,,Autlook Films,2015-03-27,10200.0,,theforecaster,Documentary
360,,Trib.,9500.0,100.0,,0.0,,Still Life (2015),,,Tribeca Film,2015-01-16,9500.0,,stilllife2015,Comedy
361,,FM,9000.0,100.0,,0.0,,The Lesson,,4908.0,Film Movement,2015-03-04,9000.0,,lesson,Foreign
362,,MR,9000.0,100.0,,0.0,,An Eye for Beauty,,,Monument Releasing,2015-08-28,9000.0,,aneyeforbeauty,Drama
363,,Free,8200.0,100.0,,0.0,,The Girl in the Book,,,Freestyle Releasing,2015-12-11,8200.0,,girlinthebook,Drama
364,,IFC,8000.0,100.0,,0.0,,Every Thing Will be Fine,,,IFC,2015-12-04,8000.0,,everythingwillbefine,Drama
365,,KL,8000.0,100.0,,0.0,,Steak (R)evolution,,,Kino Lorber,2015-07-17,8000.0,,steakrevolution,Documentary
366,,Distrib.,7400.0,100.0,,0.0,,On the Way to School,,,Distrib Films,2015-02-06,7400.0,,onthewaytoschool,Documentary
367,,IFC,6900.0,100.0,,0.0,,Hungry Hearts,,,IFC,2015-06-05,6900.0,,hungryhearts,Drama
368,,FR,6800.0,100.0,,0.0,,Steve McQueen: The Man & Le Mans,,30203.0,FilmRise,2015-11-13,6800.0,,stevemcqueenmanlemans,Documentary
369,,KL,6400.0,100.0,,0.0,,Arabian Nights: Volume 2 - The Desolate One,,3358.0,Kino Lorber,2015-12-11,6400.0,,arabiannightsvolume2,Drama
370,,Distrib.,5600.0,100.0,,0.0,,Chic!,,,Distrib Films,2015-05-01,5600.0,,chic,Comedy
371,,Trib.,5300.0,100.0,,0.0,,Far from Men,,,Tribeca Film,2015-05-01,5300.0,,farfrommen,Foreign
372,,IFC,4700.0,100.0,,0.0,,Jenny's Wedding,,,IFC,2015-07-31,4700.0,,jennyswedding,Comedy
373,,TAFC,4600.0,100.0,,0.0,,Against the Sun,,52.0,The American Film Company,2015-01-23,4600.0,,againstthesun,Adventure
374,,TFA,4600.0,100.0,,0.0,,Ashby,107764.0,,The Film Arcade,2015-09-25,4600.0,,ashby,Comedy
375,,KL,4500.0,100.0,,0.0,,Arabian Nights: Volume 3 - The Enchanted One,,2093.0,Kino Lorber,2015-12-18,4500.0,,arabiannightsvol3,Foreign
376,,Strand,4500.0,100.0,,0.0,,The Summer of Sangaile,,,Strand,2015-11-20,4500.0,,thesummerofsangaile,Drama
377,,Gold.,3500.0,100.0,,0.0,,That Sugar Film,26702.0,,Samuel Goldwyn,2015-07-31,3500.0,,thatsugarfilm,Documentary
378,,Strand,3200.0,100.0,,0.0,,Xenia,,,Strand,2015-10-09,3200.0,,xenia,Drama
